60	Nd	2.06E-10	1.85E-10	-1E-10	-1E-10	1.3E-10	2.39516E-22
61	Pm	2.05E-10	1.85E-10	-1E-10	-1E-10	1.28E-10	2.40778E-22
62	Sm	2.38E-10	1.85E-10	-1E-10	-1E-10	1.1E-10	2.49679E-22
63	Eu	2.31E-10	1.85E-10	-1E-10	-1E-10	1.31E-10	2.52342E-22
64	Gd	2.33E-10	1.8E-10	-1E-10	-1E-10	1.08E-10	2.6112E-22
65	Tb	2.25E-10	1.75E-10	-1E-10	-1E-10	1.18E-10	2.63902E-22
66	Dy	2.28E-10	1.75E-10	-1E-10	-1E-10	1.05E-10	2.69838E-22
67	Ho	2.26E-10	1.75E-10	-1E-10	-1E-10	1.04E-10	2.73873E-22
68	Er	2.26E-10	1.75E-10	-1E-10	-1E-10	1.03E-10	2.7774E-22
69	Tm	2.22E-10	1.75E-10	-1E-10	-1E-10	1.02E-10	2.80522E-22
70	Yb	2.22E-10	1.75E-10	-1E-10	-1E-10	1.13E-10	2.8734E-22
71	Lu	2.17E-10	1.75E-10	1.6E-10	-1E-10	1E-10	2.9054E-22
72	Hf	2.08E-10	1.55E-10	1.5E-10	-1E-10	8.5E-11	2.9639E-22
73	Ta	2E-10	1.45E-10	1.38E-10	-1E-10	7.8E-11	3.00471E-22
74	W	1.93E-10	1.35E-10	1.46E-10	-1E-10	7.4E-11	3.05273E-22
75	Re	1.88E-10	1.35E-10	1.59E-10	-1E-10	7.7E-11	3.09204E-22
76	Os	1.85E-10	1.3E-10	1.28E-10	-1E-10	7.7E-11	3.15884E-22
77	Ir	1.8E-10	1.35E-10	1.37E-10	-1E-10	7.7E-11	3.19184E-22
78	Pt	1.77E-10	1.35E-10	1.28E-10	1.75E-10	7.4E-11	3.23935E-22
79	Au	1.74E-10	1.35E-10	1.44E-10	1.66E-10	1.51E-10	3.27071E-22
80	Hg	1.71E-10	1.5E-10	1.49E-10	1.55E-10	8.3E-11	3.33088E-22
81	Tl	1.56E-10	1.9E-10	1.48E-10	1.96E-10	1.03E-10	3.39386E-22
82	Pb	1.54E-10	1.8E-10	1.47E-10	2.02E-10	1.49E-10	3.44064E-22
83	Bi	1.43E-10	1.6E-10	1.46E-10	-1E-10	1.17E-10	3.4702E-22
84	Po	1.35E-10	1.9E-10	-1E-10	-1E-10	1.08E-10	3.47053E-22
85	At	1.27E-10	1.27E-10	-1E-10	-1E-10	7.6E-11	3.48713E-22
86	Rn	1.2E-10	1.2E-10	1.45E-10	-1E-10	-1E-10	3.6864E-22
87	Fr	-1E-10	-1E-10	-1E-10	-1E-10	1.94E-10	3.703E-22
88	Ra	-1E-10	2.15E-10	-1E-10	-1E-10	1.62E-10	3.75282E-22
89	Ac	1.95E-10	1.95E-10	-1E-10	-1E-10	1.26E-10	3.76942E-22
90	Th	1.8E-10	1.8E-10	-1E-10	-1E-10	1.19E-10	3.83644E-22
91	Pa	1.8E-10	1.8E-10	-1E-10	-1E-10	1.09E-10	3.85308E-22
92	U	1.75E-10	1.75E-10	-1E-10	1.86E-10	8.7E-11	3.93548E-22
93	Np	1.75E-10	1.75E-10	-1E-10	-1E-10	-1E-10	3.95256E-22
94	Pu	1.75E-10	1.75E-10	-1E-10	-1E-10	1E-10	4.03511E-22
95	Am	1.75E-10	1.75E-10	-1E-10	-1E-10	1.12E-10	4.05172E-22
96	Cm	-1E-10	-1E-10	-1E-10	-1E-10	1.11E-10	4.10153E-22
